,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ranking system,,,,,,Medals vs Rank vs level system,,,,,,,,Medals Earning Framework,,,,,,Events Definition,,,,,
,Rank Name,No. of levels,Vibe,Nova Coins Multiplier,Max Nova Coins per day,,Medals mapping,,,,,No. of days to reach next level (Max. 10 Medals a day),,,Action/Event,Medals earned,Bypass 10 Medals limit per day,Nova Coins,Remarks,,Event,Definition,Effect,,,
,Awakener,3,Just waking up to full potential 🌅,1x,1000,,Level,Rank Name,Additional Medals required for next level,Cumulative Medals to be mentioned in Krunal's journey,What gift will unlock once upgraded to this level,10,Min. Cumulative No. of days to reach next level,,Tracking 1 item,"1 to 3, 3 max",No,-1000 to +1000,Streak is initiated for that day (Extra Medals and Extra NC earned as per table on the right),,Streak,If you track any item in a day,"+1 medal, +200 Nova Coins (NC)",,,
,Explorer,4,Actively discovering your abilities 🛤️,1x,1000,,1,Awakener,15,15,28 trackers unlocked already,1.5,1.5,,"1st item per category (Eat, move, thrive) tracking",Additional 1 Medal than base medals for category activation,No,+100,,,Nova-streak,"If you track atleast 1 item per category (Eat, Move, Thrive)","+1 medal beyond daily medals limits, +300 NC",,,
,Seeker,5,Intensely chasing next growth 🔎,1x,1000,,2,Awakener,15,30,3 more trackers unlocked,1.5,3,,Tracking all 4 categories,NA,No,,Nova-streak is initiated for that day (Extra Medals and Extra NC earned as per table on the right),,7 days of streak,,"Earning NC gets a 10% boost over usual limit (basis rank limitation) after every 7 days of successful streaks, boosting cap: at150%","e.g. After Week 1, an individual can earn up too 1100 NC per day, After 2nd Week, 1200 NC and so on",,
,Achiever,7,Hitting consistent life wins 🏆,1.1x,1100,,3,Awakener,15,45,4 more trackers unlocked,1.5,4.5,,Completing a daily quest,2 Medals,No,+100,,,7 days of Nova-streak,,"Earning NC gets a 20% boost over usual limit (basis rank limitation) after every 7 days of successful Nova streaks, boosting cap: at 200%","e.g. After Week 1, an individual can earn up too 1200 NC per day, After 2nd Week, 1400 NC and so on",,
,Zen Master,8,Mind-body balance pro 🧘,1.1x,1100,,4,Explorer,15,60,7 more trackers unlocked,1.5,6,,Completing a weekly quest,5 Medals,Yes,+500,,,Nova-streak boosting surpasses Streak boosting,"E.g. When Nova streak happens, only 20% boost is given and 10% boosting of streak becomes irrelevant, but in case Nova streak breaks, normal streak boosting of 10% can still hold",,,,
,Life Architect,9,Designing your ultimate life blueprint 🏛️,1.1x,1100,,5,Explorer,15,75,2 more trackers unlocked,1.5,7.5,,Completing a monthly quest,15 Medals,Yes,+2000,,,,,,,,
,Sage,10,Full wisdom and flow 🧠,1.2x,1200,,6,Explorer,15,90,6 more trackers unlocked,1.5,9,,Streak,1 Medal,No,+200,,,,,,,,
,Ascended,14,Beyond mastery 🔥,1.2x,1200,,7,Explorer,15,105,2 more trackers unlocked,1.5,10.5,,Every 7-day streak,3 Medals,No,+500,"Earning Nova-coins gets an additional 10% boost every 7 days of successful streaks, boosting cap at 150% per day (e.g. if an event gave 100 NC earlier, now it can give max 150 NC, same 10% boosting applicable on overall NC limits per day [100-->110-->121-->.......-->150])",,Explaining - 7 days streak effect,Regular (Day 1 to Day 7 - when the streak is maintained),7 days streak done (from day 8),14 days streak done (from day 15),,
